survived,deck,embarked,pclass,embark_town,sex,adult_male,who,wspd,lfwa,class,tprc,sibsp,age,alone,fare,parch
1,C,S,1.0,Southampton,male,True,man,48.0,76.0,First,272.0,1.0,38.0,False,90.0,0.0
1,C,S,1.0,Southampton,female,False,woman,235.0,70.0,First,252.425,1.0,35.0,False,83.475,0.0
0,C,Q,1.0,Queenstown,male,True,man,54.0,88.0,First,272.0,2.0,44.0,False,90.0,0.0
1,D,S,1.0,Southampton,male,True,man,237.0,74.0,First,159.6626,1.0,37.0,False,52.5542,1.0
0,G,S,3.0,Southampton,female,False,woman,229.0,58.0,Third,33.3875,1.0,29.0,False,10.4625,1.0
0,B,S,1.0,Southampton,male,True,man,240.0,80.0,First,2.0,0.0,40.0,True,0.0,0.0
1,C,S,1.0,Southampton,female,False,woman,68.0,116.0,First,462.3875000000001,0.0,58.0,False,153.4625,1.0
1,C,S,1.0,Southampton,female,False,woman,35.0,70.0,First,408.8999,0.0,35.0,True,135.6333,0.0
1,D,S,1.0,Southampton,female,False,woman,63.0,126.0,First,235.87489999999997,1.0,63.0,False,77.9583,0.0
1,B,C,1.0,Cherbourg,female,False,woman,29.0,38.0,First,275.2376,1.0,19.0,False,91.0792,0.0
0,D,C,2.0,Cherbourg,male,True,man,236.0,72.0,Second,40.625,0.0,36.0,True,12.875,0.0
1,C,C,1.0,Cherbourg,female,False,woman,17.0,34.0,First,328.70000000000005,1.0,17.0,False,108.9,0.0
1,E,C,1.0,Cherbourg,female,False,woman,40.0,60.0,First,172.7876,0.0,30.0,True,56.9292,0.0
1,C,C,1.0,Cherbourg,female,False,woman,24.0,48.0,First,251.4749,0.0,24.0,True,83.1583,0.0
1,C,S,1.0,Southampton,female,False,woman,41.0,62.0,First,496.6001,0.0,31.0,False,164.8667,2.0
1,E,C,1.0,Cherbourg,female,False,woman,240.0,80.0,First,405.5,1.0,40.0,False,134.5,1.0
1,C,C,1.0,Cherbourg,female,False,woman,36.0,72.0,First,408.8999,0.0,36.0,True,135.6333,0.0
1,D,S,2.0,Southampton,female,False,woman,236.0,72.0,Second,41.0,0.0,36.0,True,13.0,0.0
1,B,C,1.0,Cherbourg,female,False,woman,216.0,32.0,First,175.9376,0.0,16.0,False,57.9792,1.0
0,C,S,1.0,Southampton,male,True,man,55.5,91.0,First,87.5,0.0,45.5,True,28.5,0.0
0,C,S,1.0,Southampton,male,True,man,38.0,76.0,First,462.3875000000001,0.0,30.28931242460796,False,153.4625,1.0
1,E,C,1.0,Cherbourg,female,False,woman,41.0,82.0,First,405.5,0.0,41.0,True,134.5,0.0
1,F,S,2.0,Southampton,male,False,child,202.0,4.0,Second,80.0,1.0,2.0,False,26.0,1.0
1,F,S,2.0,Southampton,female,False,woman,24.0,48.0,Second,41.0,0.0,24.0,True,13.0,0.0
1,E,S,1.0,Southampton,female,False,woman,22.0,44.0,First,167.0,0.0,22.0,False,55.0,1.0
1,D,C,1.0,Cherbourg,female,False,woman,60.0,120.0,First,227.75,1.0,60.0,False,75.25,0.0
1,B,C,1.0,Cherbourg,female,False,woman,24.0,48.0,First,209.9,0.0,24.0,True,69.3,0.0
1,E,C,1.0,Cherbourg,male,True,man,25.0,50.0,First,168.3251,1.0,30.28931242460796,False,55.4417,0.0
1,B,S,1.0,Southampton,male,True,man,36.0,72.0,First,362.0,1.0,36.0,False,120.0,2.0
1,D,C,1.0,Cherbourg,female,False,woman,33.0,46.0,First,341.82500000000005,1.0,23.0,False,113.275,0.0
1,G,S,3.0,Southampton,female,False,woman,24.0,48.0,Third,52.099999999999994,0.0,24.0,False,16.7,2.0
1,C,S,1.0,Southampton,male,True,man,28.0,56.0,First,81.65,0.0,30.28931242460796,True,26.55,0.0
0,E,S,1.0,Southampton,male,True,man,50.0,100.0,First,169.7,1.0,50.0,False,55.9,0.0
1,B,S,1.0,Southampton,female,False,child,24.0,28.0,First,362.0,1.0,14.0,False,120.0,2.0
0,C,S,1.0,Southampton,male,True,man,74.0,128.0,First,791.0,1.0,64.0,False,263.0,4.0
1,A,S,1.0,Southampton,male,False,child,204.0,8.0,First,247.5749,0.0,4.0,False,81.8583,2.0
1,C,S,1.0,Southampton,male,True,man,62.0,104.0,First,93.5,0.0,52.0,True,30.5,0.0
0,C,C,1.0,Cherbourg,male,True,man,30.0,60.0,First,85.25,0.0,30.28931242460796,True,27.75,0.0
0,E,S,1.0,Southampton,male,True,man,65.0,130.0,First,81.65,0.0,65.0,True,26.55,0.0
1,D,C,2.0,Cherbourg,female,False,woman,23.0,46.0,Second,43.3751,0.0,23.0,True,13.7917,0.0
1,C,S,1.0,Southampton,female,False,woman,235.0,70.0,First,272.0,1.0,35.0,False,90.0,0.0
0,C,S,1.0,Southampton,male,True,man,65.0,110.0,First,93.5,0.0,55.0,True,30.5,0.0
1,D,C,1.0,Cherbourg,female,False,woman,54.0,108.0,First,236.8001,1.0,54.0,False,78.2667,0.0
0,C,S,1.0,Southampton,female,False,woman,35.0,50.0,First,456.65,1.0,25.0,False,151.55,2.0
1,B,S,1.0,Southampton,female,False,woman,16.0,32.0,First,261.5,0.0,30.28931242460796,True,86.5,0.0
0,C,C,1.0,Cherbourg,male,True,man,18.0,36.0,First,328.70000000000005,1.0,18.0,False,108.9,0.0
0,D,S,1.0,Southampton,male,True,man,57.0,94.0,First,104.0624,0.0,47.0,True,34.0208,0.0
1,F,S,2.0,Southampton,female,False,woman,34.0,68.0,Second,33.5,0.0,34.0,True,10.5,0.0
1,B,C,1.0,Cherbourg,female,False,woman,54.0,88.0,First,175.9376,0.0,44.0,False,57.9792,1.0
0,B,S,1.0,Southampton,male,True,man,45.0,90.0,First,81.65,0.0,30.28931242460796,True,26.55,0.0
1,B,C,1.0,Cherbourg,female,False,woman,22.0,44.0,First,150.5,0.0,22.0,False,49.5,2.0
0,C,C,1.0,Cherbourg,male,True,man,250.0,100.0,First,321.275,1.0,50.0,False,106.425,0.0
1,C,C,1.0,Cherbourg,male,True,man,17.0,34.0,First,334.6499,0.0,17.0,False,110.8833,2.0
1,E,S,1.0,Southampton,female,False,woman,39.0,78.0,First,240.95,1.0,39.0,False,79.65,1.0
1,C,S,1.0,Southampton,female,False,woman,53.0,106.0,First,156.4376,2.0,53.0,False,51.4792,0.0
1,E,S,1.0,Southampton,male,True,man,36.0,72.0,First,81.1625,0.0,36.0,True,26.3875,0.0
1,E,S,1.0,Southampton,female,False,woman,39.0,78.0,First,169.7,1.0,39.0,False,55.9,0.0
0,A,C,1.0,Cherbourg,male,True,man,36.0,72.0,First,122.375,0.0,36.0,True,40.125,0.0
1,D,C,1.0,Cherbourg,female,False,woman,52.0,104.0,First,236.8001,1.0,52.0,False,78.2667,0.0
1,A,C,1.0,Cherbourg,male,True,man,249.0,98.0,First,172.7876,1.0,49.0,False,56.9292,0.0
1,C,S,1.0,Southampton,female,False,woman,40.0,80.0,First,462.3875000000001,0.0,40.0,True,153.4625,0.0
1,D,S,1.0,Southampton,male,True,man,42.0,84.0,First,159.6626,1.0,42.0,False,52.5542,0.0
1,A,S,1.0,Southampton,male,True,man,80.0,160.0,First,92.0,0.0,30.28931242460796,True,30.0,0.0
1,B,C,1.0,Cherbourg,male,True,man,32.0,64.0,First,93.5,0.0,32.0,True,30.5,0.0
1,B,C,1.0,Cherbourg,female,False,woman,24.0,48.0,First,209.9,0.0,24.0,True,69.3,0.0
1,D,C,1.0,Cherbourg,male,True,man,248.0,96.0,First,232.18760000000003,1.0,48.0,False,76.7292,0.0
1,A,C,1.0,Cherbourg,male,True,man,56.0,112.0,First,108.5,0.0,56.0,True,35.5,0.0
0,E,S,1.0,Southampton,male,True,man,47.0,94.0,First,78.76249999999999,0.0,47.0,True,25.5875,0.0
0,B,S,1.0,Southampton,male,True,man,31.0,62.0,First,158.0,1.0,31.0,False,52.0,0.0
1,B,C,1.0,Cherbourg,male,True,man,36.0,72.0,First,1538.9876,0.0,36.0,False,512.3292,1.0
1,D,C,1.0,Cherbourg,male,True,man,27.0,54.0,First,232.18760000000003,0.0,27.0,True,76.7292,0.0
0,F,S,3.0,Southampton,male,True,man,52.0,84.0,Third,24.950000000000003,0.0,42.0,True,7.65,0.0
1,C,C,1.0,Cherbourg,female,False,woman,18.0,36.0,First,684.575,1.0,18.0,False,227.525,0.0
1,E,S,1.0,Southampton,male,True,man,35.0,70.0,First,80.86250000000001,0.0,35.0,True,26.2875,0.0
1,C,C,1.0,Cherbourg,female,False,woman,24.0,48.0,First,150.5126,0.0,24.0,True,49.5042,0.0
1,C,S,1.0,Southampton,male,True,man,48.0,96.0,First,158.0,1.0,48.0,False,52.0,0.0
0,F,S,3.0,Southampton,male,True,man,29.0,38.0,Third,24.950000000000003,0.0,19.0,True,7.65,0.0
1,C,C,1.0,Cherbourg,female,False,woman,238.0,76.0,First,684.575,0.0,30.28931242460796,True,227.525,0.0
1,E,S,1.0,Southampton,male,True,man,227.0,54.0,First,161.3,1.0,27.0,False,53.1,0.0
1,B,S,1.0,Southampton,female,False,woman,229.0,58.0,First,636.0125,0.0,29.0,True,211.3375,0.0
1,B,C,1.0,Cherbourg,female,False,woman,21.0,42.0,First,789.125,2.0,21.0,False,262.375,2.0
0,D,S,1.0,Southampton,male,True,man,19.0,38.0,First,161.3,1.0,19.0,False,53.1,0.0
1,E,S,3.0,Southampton,male,False,child,6.0,12.0,Third,39.425,0.0,6.0,False,12.475,1.0
1,B,S,1.0,Southampton,female,False,woman,36.0,72.0,First,362.0,1.0,36.0,False,120.0,2.0
0,E,S,2.0,Southampton,female,False,woman,57.0,114.0,Second,33.5,0.0,57.0,True,10.5,0.0
1,B,S,1.0,Southampton,female,False,woman,17.0,34.0,First,173.0,1.0,30.28931242460796,False,57.0,0.0
0,D,S,1.0,Southampton,male,True,man,29.0,58.0,First,92.0,0.0,29.0,True,30.0,0.0
0,B,C,1.0,Cherbourg,male,True,man,46.0,92.0,First,239.6,0.0,46.0,True,79.2,0.0
1,B,S,1.0,Southampton,male,False,child,11.0,22.0,First,362.0,1.0,11.0,False,120.0,2.0
1,E,S,1.0,Southampton,female,False,woman,33.0,66.0,First,161.3,1.0,33.0,False,53.1,0.0
1,B,S,1.0,Southampton,female,False,woman,52.0,104.0,First,282.5,1.0,52.0,False,93.5,1.0
1,E,C,1.0,Cherbourg,female,False,woman,39.0,78.0,First,251.4749,1.0,30.28931242460796,False,83.1583,1.0
1,D,S,1.0,Southampton,female,False,woman,16.0,32.0,First,120.2,0.0,16.0,False,39.4,1.0
1,E,S,1.0,Southampton,male,True,man,251.0,102.0,First,81.65,0.0,51.0,True,26.55,0.0
1,D,S,1.0,Southampton,female,False,woman,47.0,94.0,First,159.6626,1.0,47.0,False,52.5542,1.0
1,C,C,1.0,Cherbourg,female,False,woman,56.0,112.0,First,251.4749,0.0,56.0,False,83.1583,1.0
1,B,S,1.0,Southampton,female,False,woman,219.0,38.0,First,92.0,0.0,19.0,True,30.0,0.0
0,D,S,1.0,Southampton,male,True,man,21.0,42.0,First,233.8625,0.0,21.0,False,77.2875,1.0
1,B,S,1.0,Southampton,female,False,child,24.0,28.0,First,362.0,1.0,14.0,False,120.0,2.0
1,C,C,1.0,Cherbourg,female,False,woman,18.0,36.0,First,684.575,1.0,18.0,False,227.525,0.0
1,D,S,1.0,Southampton,female,False,woman,47.0,94.0,First,159.6626,1.0,47.0,False,52.5542,1.0
1,D,S,2.0,Southampton,male,True,man,34.0,68.0,Second,41.0,0.0,34.0,True,13.0,0.0
1,D,C,1.0,Cherbourg,male,True,man,27.0,54.0,First,232.18760000000003,0.0,27.0,True,76.7292,0.0
0,F,S,3.0,Southampton,male,True,man,52.0,84.0,Third,24.950000000000003,0.0,42.0,True,7.65,0.0
0,D,S,1.0,Southampton,male,True,man,29.0,58.0,First,92.0,0.0,29.0,True,30.0,0.0
1,B,S,1.0,Southampton,female,False,woman,16.0,32.0,First,261.5,0.0,30.28931242460796,True,86.5,0.0
1,F,S,2.0,Southampton,female,False,woman,24.0,48.0,Second,41.0,0.0,24.0,True,13.0,0.0
1,D,C,1.0,Cherbourg,female,False,woman,60.0,120.0,First,227.75,1.0,60.0,False,75.25,0.0
1,D,S,1.0,Southampton,female,False,woman,47.0,94.0,First,159.6626,1.0,47.0,False,52.5542,1.0
1,C,C,1.0,Cherbourg,female,False,woman,38.0,76.0,First,215.8499,1.0,38.0,False,71.2833,0.0
1,C,S,1.0,Southampton,female,False,woman,35.0,70.0,First,408.8999,0.0,35.0,True,135.6333,0.0
0,G,S,3.0,Southampton,female,False,woman,229.0,58.0,Third,33.3875,1.0,29.0,False,10.4625,1.0
1,E,S,1.0,Southampton,male,True,man,35.0,70.0,First,80.86250000000001,0.0,35.0,True,26.2875,0.0
1,E,S,1.0,Southampton,male,True,man,227.0,54.0,First,161.3,1.0,27.0,False,53.1,0.0
0,D,S,1.0,Southampton,male,True,man,19.0,38.0,First,161.3,1.0,19.0,False,53.1,0.0
1,E,C,1.0,Cherbourg,female,False,woman,41.0,82.0,First,405.5,0.0,41.0,True,134.5,0.0
1,D,C,1.0,Cherbourg,female,False,woman,49.0,98.0,First,232.18760000000003,1.0,49.0,False,76.7292,0.0
1,B,S,1.0,Southampton,female,False,woman,36.0,72.0,First,362.0,1.0,36.0,False,120.0,2.0
0,C,S,1.0,Southampton,male,True,man,65.0,110.0,First,93.5,0.0,55.0,True,30.5,0.0
1,A,C,1.0,Cherbourg,male,True,man,56.0,112.0,First,108.5,0.0,56.0,True,35.5,0.0
0,C,S,1.0,Southampton,male,True,man,55.0,90.0,First,252.425,1.0,45.0,False,83.475,0.0
0,C,S,1.0,Southampton,female,False,woman,35.0,50.0,First,456.65,1.0,25.0,False,151.55,2.0
0,E,S,2.0,Southampton,female,False,woman,57.0,114.0,Second,33.5,0.0,57.0,True,10.5,0.0
1,C,S,1.0,Southampton,female,False,woman,235.0,70.0,First,252.425,1.0,35.0,False,83.475,0.0
1,D,S,1.0,Southampton,female,False,woman,47.0,94.0,First,159.6626,1.0,47.0,False,52.5542,1.0
1,E,S,1.0,Southampton,male,True,man,251.0,102.0,First,81.65,0.0,51.0,True,26.55,0.0
1,B,C,1.0,Cherbourg,female,False,woman,21.0,42.0,First,789.125,2.0,21.0,False,262.375,2.0
1,C,S,1.0,Southampton,female,False,woman,235.0,70.0,First,252.425,1.0,35.0,False,83.475,0.0
0,D,S,1.0,Southampton,male,True,man,19.0,38.0,First,161.3,1.0,19.0,False,53.1,0.0
0,B,S,1.0,Southampton,male,True,man,61.0,122.0,First,102.5,0.0,61.0,True,33.5,0.0
1,E,S,1.0,Southampton,female,False,woman,39.0,78.0,First,169.7,1.0,39.0,False,55.9,0.0
1,D,C,1.0,Cherbourg,male,True,man,27.0,54.0,First,232.18760000000003,0.0,27.0,True,76.7292,0.0
1,D,C,1.0,Cherbourg,male,True,man,248.0,96.0,First,232.18760000000003,1.0,48.0,False,76.7292,0.0
0,C,C,1.0,Cherbourg,male,True,man,18.0,36.0,First,328.70000000000005,1.0,18.0,False,108.9,0.0
1,C,S,1.0,Southampton,female,False,woman,235.0,70.0,First,252.425,1.0,35.0,False,83.475,0.0
1,C,S,1.0,Southampton,male,True,man,48.0,76.0,First,272.0,1.0,38.0,False,90.0,0.0
1,B,C,1.0,Cherbourg,male,True,man,32.0,64.0,First,93.5,0.0,32.0,True,30.5,0.0
1,C,S,1.0,Southampton,male,True,man,48.0,76.0,First,272.0,1.0,38.0,False,90.0,0.0
0,B,S,1.0,Southampton,male,True,man,31.0,62.0,First,158.0,1.0,31.0,False,52.0,0.0
1,D,C,1.0,Cherbourg,female,False,woman,54.0,108.0,First,236.8001,1.0,54.0,False,78.2667,0.0
1,C,C,1.0,Cherbourg,female,False,woman,38.0,76.0,First,215.8499,1.0,38.0,False,71.2833,0.0
1,B,C,1.0,Cherbourg,female,False,woman,24.0,48.0,First,209.9,0.0,24.0,True,69.3,0.0
